"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000247",495.26135301116,-0.150779021059503,0.128207530511951,-1.17605432736611,0.239573167277957,0.450777179779587
"ENSMUSG00000000248",0.741120718668956,0.853093779623628,1.32411744220861,0.644273500544391,0.519398096230067,NA
"ENSMUSG00000000253",756.867648034804,-0.102727801041902,0.131259655861379,-0.782630431016751,0.433844166060675,0.639156059999484
"ENSMUSG00000000263",7.21450333240343,-0.225911190583974,0.434530037708005,-0.519897753848219,0.603134841025033,0.771100890971228
"ENSMUSG00000000266",600.101205811843,0.0131929202103208,0.11672776873758,0.113022979476121,0.91001233695562,0.95647313179864
"ENSMUSG00000000275",144.78354309388,-0.202946002595869,0.114040414650262,-1.77959719997741,0.0751419047928938,0.215874409697956
"ENSMUSG00000000276",1661.03525248245,-0.0651140196840759,0.0863394639176325,-0.754162890635902,0.450751417471875,0.654028513289042
"ENSMUSG00000000278",178.83047213124,0.0938129378345351,0.114296352250425,0.820786805417814,0.411767715577928,0.619981382720229
"ENSMUSG00000000282",572.52519555931,-0.5736989132612,0.14578562331588,-3.93522283070493,8.31195404495548e-05,0.00226853613698643
"ENSMUSG00000000290",73.778420532006,-0.461356115059891,0.263868272938017,-1.74843345099039,0.0803889997817834,0.225572624993889
"ENSMUSG00000000295",103.676316950931,0.0950010690707919,0.124275310341237,0.76444040903971,0.444604835708928,0.648470778777881
"ENSMUSG00000000296",313.263485836964,-0.0113217726230824,0.14258741994876,-0.0794023247433118,0.936712619604094,0.971078490626573
"ENSMUSG00000000301",15.7652604849527,-0.571244406344483,0.27343033219859,-2.08917716535411,0.0366917781495831,0.136321893219277
"ENSMUSG00000000303",25.4650909956235,0.867642202606796,0.377538508300944,2.29815550872278,0.0215529399031248,0.096347136450796
"ENSMUSG00000000305",565.239495099245,-0.0594091196542595,0.130623800457205,-0.454810834214879,0.649245335170463,0.802049713749121
"ENSMUSG00000000308",3079.79396185271,0.209203979978173,0.107687262725387,1.94269939344325,0.0520524895743486,0.170960664906631
"ENSMUSG00000000317",25.5868777321138,0.0532052961856151,0.220432685736121,0.241367544962487,0.809270264595973,0.903887346557937
"ENSMUSG00000000318",7.32619827044057,0.241249345010366,0.4662452716784,0.517430116002917,0.604855941123175,0.772285368885466
"ENSMUSG00000000320",32.6353230453068,-0.151751611261646,0.245199865666689,-0.618889455135057,0.535989185671111,0.721435700979786
"ENSMUSG00000000326",1295.28394143099,-0.0563087981695038,0.101297177394149,-0.555877267442558,0.57829475953888,0.753323860118265
"ENSMUSG00000000339",644.185829637769,-0.0203705645915187,0.0780652777873575,-0.260942702939023,0.794136693121196,0.895396214303197
"ENSMUSG00000000340",276.979276211853,-0.00958074276919566,0.192766195591428,-0.0497013635601453,0.960360369840436,0.982839178096238
"ENSMUSG00000000346",1532.32800481856,0.074852227497787,0.0560188490307663,1.33619716921847,0.181484836093822,0.379221864627819
"ENSMUSG00000000355",293.03267833926,0.415745868995827,0.183220150826049,2.26910559303348,0.0232619053386464,0.101073066232023
"ENSMUSG00000000359",7.88172780010178,-0.684239768554997,0.441139569185325,-1.55107321208709,0.120884139962467,0.293299048596188
"ENSMUSG00000000365",16.2006911013535,0.0250289243001256,0.31039053266329,0.0806368805303633,0.935730735271715,0.970449549073695
"ENSMUSG00000000374",2149.59594157255,-0.0259655879103943,0.0549041405599067,-0.472925860337671,0.636266074364077,0.79370228221706
"ENSMUSG00000000378",1168.34581116922,-0.00404155077550553,0.115128799505112,-0.0351046027829559,0.97199633118596,0.988279774878509
"ENSMUSG00000000381",0,NA,NA,NA,NA,NA
"ENSMUSG00000000384",444.868130040076,-0.18814407173658,0.0905594085771616,-2.07757619768763,0.0377484103647077,0.13864513480969
"ENSMUSG00000000385",0.783063578108554,-0.624173364192647,1.57255627946474,-0.396916391701479,0.691429116173527,NA
"ENSMUSG00000000386",12.1308829253368,0.00308074084228813,0.283130089034523,0.0108810082771262,0.991318382802003,0.997069526650498
"ENSMUSG00000000392",42.1402813856648,-0.066590711617345,0.271249459048334,-0.24549620062276,0.806072249647073,0.902289424735532
"ENSMUSG00000000394",0.81025232231571,0.354225403834441,1.03663294041244,0.34170764792937,0.732570915992834,NA
"ENSMUSG00000000399",1574.67741024794,-0.00173057915090012,0.0743419168794448,-0.0232786457969127,0.981428005283655,0.992358471377688
"ENSMUSG00000000402",41.2237097139551,-0.235096542327874,0.212251598127806,-1.10763143553017,0.268021021502165,0.482096199787194
"ENSMUSG00000000409",21.9893822056164,-0.481565577240158,0.221657040524023,-2.17257063480447,0.029812648024912,0.119181931003322
"ENSMUSG00000000411",0.769363161590951,1.4048770297822,1.0635410720925,1.32094290163908,0.186520403443005,NA
"ENSMUSG00000000416",3293.14587619978,-0.0512851877683741,0.128439326867881,-0.39929505252802,0.689675812156921,0.827839896785827
"ENSMUSG00000000420",788.234817219851,-0.0555897116400034,0.0963389798406353,-0.577022008453487,0.563924588218269,0.74257343364381
"ENSMUSG00000000435",0.13557269006571,-0.842715029138493,3.02305956014017,-0.278762297723112,0.780427249969119,NA
"ENSMUSG00000000439",837.328873470201,0.0566408526197957,0.144673028836103,0.391509413160644,0.69542073214349,0.831974158697822
"ENSMUSG00000000440",27.8655319318627,-0.186269088890173,0.260463703079215,-0.715144132130851,0.474519986417097,0.673594858049392
"ENSMUSG00000000441",1184.46233124353,0.0526406975295883,0.0811360386978821,0.648795509053641,0.516470560638346,0.707289624580703
"ENSMUSG00000000486",25.4133193561145,-0.0833547537940217,0.17831341116766,-0.467462055984377,0.640169333244053,0.796220929095032
"ENSMUSG00000000489",336.098992353536,-0.604108387494945,0.14097613670735,-4.2851818868395,1.82589742715528e-05,0.000763709097362922
"ENSMUSG00000000530",529.70505103459,-0.272116377773162,0.15060531359961,-1.80681790880628,0.0707906754281072,0.207951352865305
"ENSMUSG00000000531",707.226238919785,-0.513349639201853,0.122254451610201,-4.1990261494823,2.68065365911264e-05,0.00102609411632187
"ENSMUSG00000000532",2329.23632170664,-0.238511672953408,0.0550998795009557,-4.32871496478084,1.4998189495156e-05,0.000676192215891
"ENSMUSG00000000538",5078.73540894085,-0.191006421757012,0.0827691655991645,-2.30770022114298,0.0210158157775633,0.0948005536036756
"ENSMUSG00000000544",17.0104251742151,0.0523297542789819,1.22513383807869,0.042713500070366,0.965929917891837,0.984996564138557
"ENSMUSG00000000552",1031.96544975159,-0.370271353840129,0.117613353474009,-3.14820845510501,0.00164274500320861,0.0176562029508948
"ENSMUSG00000000555",384.243899660709,-0.239704790072226,0.137871865653327,-1.7386055446218,0.0821041705769563,0.228355102207148
"ENSMUSG00000000560",1932.78726548204,0.605998564715823,0.208349614061242,2.90856581350661,0.00363090742941348,0.0294415343070818
"ENSMUSG00000000561",827.284920234483,0.00861018616219552,0.0916239715926867,0.0939730729035848,0.925130546768858,0.96464324087306
"ENSMUSG00000000562",24.4946545965769,0.289506949023288,0.22509437757143,1.28615806466076,0.198387903049756,0.401073517486334
"ENSMUSG00000000563",2773.52732508993,0.371461031519043,0.0928473165033473,4.00077294108604,6.31359174183566e-05,0.00185433714813508
"ENSMUSG00000000567",344.770639197241,-0.131114379071926,0.0954299480920159,-1.37393325358934,0.169462404858418,0.364050547466884
"ENSMUSG00000000568",2582.73081011625,-0.0373580896797289,0.138661464148152,-0.269419408696089,0.787606952182247,0.891450278819734
"ENSMUSG00000000579",47.9585371905797,0.301290580048143,0.255356055002683,1.17988422105353,0.238046266380892,0.449082392331217
"ENSMUSG00000000581",371.739838534318,0.157603665308199,0.156858485251981,1.00475065186956,0.315016931455805,0.53036507237729
"ENSMUSG00000000594",758.866820721942,0.151396751935858,0.0587317995731039,2.57776456768387,0.00994417245398415,0.0571181156374113
"ENSMUSG00000000600",1279.24381518823,0.281222403358525,0.127096358483581,2.21267081696014,0.0269203487682919,0.111576746399238
"ENSMUSG00000000605",3532.92353444937,-0.00198281831476577,0.0408253144069398,-0.0485683538160018,0.961263290185538,0.983057316019279
"ENSMUSG00000000606",9.51229132616831,0.0641601999429532,0.359321178645115,0.178559472015763,0.858283619610976,0.930665109270822
"ENSMUSG00000000617",1.23957841825725,-0.326884570891751,0.801959520337838,-0.407607320072771,0.68356198930888,NA
"ENSMUSG00000000627",764.087622357572,-0.259342962965316,0.100852287358601,-2.57151294985674,0.0101255228421148,0.0578534646127154
"ENSMUSG00000000628",79.4466110400257,-0.651808323551076,0.227818919465334,-2.86108074378018,0.00422199509775182,0.0323771316590769
"ENSMUSG00000000631",4373.39126200252,-0.196874159781724,0.09706415420509,-2.02828903619499,0.0425307572889568,0.150540147842927
"ENSMUSG00000000632",7493.82952539499,-0.305877496804889,0.140007044938568,-2.18472932515004,0.0289086986976887,0.116887303050194
"ENSMUSG00000000673",5.69531860379713,-0.0640133172617411,0.500853249333615,-0.127808529438335,0.89830049991111,0.950310828708987
"ENSMUSG00000000682",10.7248656428575,0.126801213743289,0.309866152035555,0.409212858230284,0.682383459003337,0.823185216580716
"ENSMUSG00000000686",14.811061995298,-0.362261881236085,0.250725369666811,-1.44485530809066,0.14849853192086,0.334544303518259
"ENSMUSG00000000690",0.179343191204711,-0.842715029138493,3.02305956014017,-0.278762297723112,0.780427249969119,NA
"ENSMUSG00000000693",68.5666801925608,-0.250253552037496,0.21754519568643,-1.15035200500687,0.249998919422575,0.463124999288906
"ENSMUSG00000000701",0,NA,NA,NA,NA,NA
"ENSMUSG00000000706",1.97190838232286,0.57000253669242,0.840095320989658,0.678497454337609,0.497456337347565,NA
"ENSMUSG00000000708",439.675107908175,0.413297199825,0.202396093284377,2.04202162758298,0.0411493860416831,0.147070211429351
"ENSMUSG00000000711",2506.59181363248,0.0434074281361984,0.0456559722138688,0.950750274966495,0.341731160182651,0.556440057094798
"ENSMUSG00000000724",1.81141852918164,-0.00858994785588793,0.643117846772799,-0.0133567244308221,0.989343192660803,NA
"ENSMUSG00000000730",1.48922474730523,-0.0991364110113289,0.947513974688166,-0.104627914373459,0.916671063802012,NA
"ENSMUSG00000000731",4.51115196453002,-0.228511989329687,0.58895458546706,-0.387995942248194,0.69801903646718,0.833654203452113
"ENSMUSG00000000732",60.070586437935,0.106130489132986,0.167515707433924,0.63355544837399,0.526370983632931,0.715037371568354
"ENSMUSG00000000738",840.369229875389,-0.287089610262129,0.0979242403884936,-2.93175223134907,0.0033705553562957,0.02812793263201
"ENSMUSG00000000739",27.8843292424808,-0.0767128155415318,0.205155666676797,-0.373924916548298,0.708460178209759,0.83995282660768
"ENSMUSG00000000740",1677.01332194835,0.384784996977702,0.136663037345911,2.81557474830422,0.0048690068746617,0.0355259442330298
"ENSMUSG00000000743",1269.91464684226,-0.128581534895195,0.068446352602738,-1.87857394887762,0.0603026910343099,0.187672872141434
"ENSMUSG00000000751",670.957473010763,-0.257417384829627,0.0808944427448614,-3.18213929282527,0.00146191490222756,0.0162713086714406
"ENSMUSG00000000753",89.9019098723718,0.379928077384225,0.132897644746276,2.8588021865216,0.00425243868427339,0.03247418859728
"ENSMUSG00000000759",780.08762998752,0.119953553258695,0.0596620851063013,2.01054912923292,0.0443731019345457,0.154633267090914
"ENSMUSG00000000766",102.159717169564,0.123697360074816,0.216337063805708,0.571780710613268,0.567470546939192,0.745433158299568
"ENSMUSG00000000776",273.923889534762,-0.0987705501731264,0.143591477602063,-0.687858024881185,0.49154219179491,0.687160760649358
"ENSMUSG00000000782",151.811865556142,-0.0424629020869938,0.148439824237867,-0.286061387535392,0.774831104580677,0.883732066056337
"ENSMUSG00000000787",3606.31809131564,-0.02587074220964,0.0806328562067019,-0.320846159080866,0.74832697722047,0.867002460096626
"ENSMUSG00000000791",22.5398474722972,-0.8773781259054,0.290968289586346,-3.015373692964,0.00256662814453284,0.02341120931834
"ENSMUSG00000000792",109.102492438982,-0.0260128616062644,0.219955730203659,-0.118264077876848,0.905858419309411,0.95486320370349
"ENSMUSG00000000794",994.346508047568,-0.21067925867985,0.116799775884302,-1.80376423742921,0.0712682744297144,0.208824224772279
"ENSMUSG00000000804",3364.38187241582,0.164722682561596,0.079905538208019,2.06146765613131,0.0392584460767355,0.142413397492158
"ENSMUSG00000000805",239.745790527106,-0.20261696990571,0.146300336270338,-1.3849385112233,0.166071269931747,0.359669348661608
"ENSMUSG00000000811",44.1204827843214,-0.392980562636467,0.142621995375102,-2.75539941509661,0.0058620525644068,0.0401914864542143
"ENSMUSG00000000817",2.2287752271849,1.44799315810147,0.694599798575398,2.08464379211059,0.0371016462632862,NA
"ENSMUSG00000000823",1554.5027912991,-0.233401434625626,0.104950249930661,-2.22392452404668,0.0261535227575471,0.109240876445659
"ENSMUSG00000000826",7216.35102043752,-0.349747267852508,0.0908519110308951,-3.84964128859737,0.000118290934049508,0.00292708268505254
"ENSMUSG00000000827",704.913102038659,0.29397901918883,0.0635457204468315,4.62625991367587,3.72328009301686e-06,0.000244805666115859
"ENSMUSG00000000838",1222.08508054215,0.147022477260099,0.130191605422151,1.12927770406835,0.258780703327383,0.47259326173542
"ENSMUSG00000000861",1362.05917800067,0.0749218697492541,0.0769878741492568,0.973164548017037,0.33047152751236,0.54523033854754
"ENSMUSG00000000869",31.0376881614972,0.325192151812344,0.249061593478202,1.30566960273145,0.191664939389521,0.392001887348097
"ENSMUSG00000000876",193.480651220015,-0.0749642098265408,0.0831299550446486,-0.901771326428338,0.367178354497604,0.579533778151502
"ENSMUSG00000000881",3394.70515267522,0.0302430209743612,0.0942361300758752,0.320928087242236,0.748264888324963,0.867002460096626
"ENSMUSG00000000884",56.1027558485989,-0.785047290321231,0.257166768377759,-3.05267782176294,0.00226809305444437,0.0215487461625865
"ENSMUSG00000000889",4.51158913479888,-0.0172350697842053,0.439581055463006,-0.0392079448602529,0.968724599426122,0.986513440706285
"ENSMUSG00000000901",17.4201077305366,0.126238206803273,0.293154002050308,0.43062078607274,0.666744124810885,0.813746079294526
"ENSMUSG00000000902",1004.35449361961,-0.00883287962589933,0.0612195340100789,-0.144282046061395,0.885277755127424,0.943955480895745
"ENSMUSG00000000903",0.814454975136619,-0.0695281426363102,1.0026882637885,-0.0693417337643994,0.944717606923587,NA
"ENSMUSG00000000915",1815.87528530979,-0.33126487071399,0.0922967599395131,-3.58912784079404,0.000331786116404076,0.00598663555981492
"ENSMUSG00000000916",202.507841275639,-0.452558257104402,0.17652827192794,-2.56365879619067,0.0103575309257658,0.0586518020988264
"ENSMUSG00000000934",170.352028694735,-0.26166352883062,0.131248513655148,-1.99364946347609,0.0461903757856295,0.15829665210009
"ENSMUSG00000000938",0.197601288025685,-0.609009739859957,2.32404125775649,-0.262047731651659,0.79328464302494,NA
"ENSMUSG00000000942",0,NA,NA,NA,NA,NA
"ENSMUSG00000000948",267.707339508629,-0.879949847087602,0.285588044227938,-3.08118587200129,0.00206177899117661,0.0204388119525092
"ENSMUSG00000000957",134.325600325495,-0.270378997126884,0.121364243114066,-2.22783078598171,0.0258918010739255,0.108426992289795
"ENSMUSG00000000958",28.2374686060195,-0.723736251517362,0.296856106406511,-2.43800358455921,0.0147686275587381,0.0748740197779658
"ENSMUSG00000000959",663.440431428511,0.0743188270637189,0.0791251843229534,0.939256289885946,0.347599174608558,0.561465589098578
"ENSMUSG00000000976",440.348759343888,0.0225566044093354,0.0969164246776558,0.232742845027132,0.815961097134427,0.907448278066337
"ENSMUSG00000000982",1.28412784484466,0.514131037587468,0.945020940091823,0.54404195269738,0.586412603743457,NA
"ENSMUSG00000000983",4.18709215142142,0.221352563193285,0.510639674335524,0.433480934440362,0.664665414003357,0.812426044382104
"ENSMUSG00000001014",14.7584339069226,-0.598500173358874,0.24159737006103,-2.47726278314904,0.0132394384374593,0.0693034295529008
"ENSMUSG00000001016",994.75626626592,0.188083440680129,0.0634829323062476,2.96274028069145,0.00304913724486591,0.0262308203679474
"ENSMUSG00000001017",2008.29851902148,-0.177354706112691,0.0617158548445296,-2.87373004164767,0.00405655537100405,0.0315617732554733
"ENSMUSG00000001018",443.82636037718,0.0818201932088549,0.104270391937593,0.784692487372882,0.432633888583004,0.637988725884454
"ENSMUSG00000001020",7.06527379297588,-0.253631370566329,0.410315944659293,-0.61813676477265,0.536485189346679,0.721676179362405
"ENSMUSG00000001021",8.19450942662669,-0.656977543123416,0.346729639071926,-1.89478333863212,0.0581211114282171,0.183064099468516
"ENSMUSG00000001023",0,NA,NA,NA,NA,NA
"ENSMUSG00000001025",62.4457462770999,0.534229362335655,0.175956593486931,3.03614290177386,0.00239625765732646,0.0224106898792418
"ENSMUSG00000001027",0.846224143939789,-0.684479974395706,1.05219546781809,-0.65052549201252,0.515352840801229,NA
"ENSMUSG00000001029",27.0508918877372,-0.369643366937742,0.211242942618909,-1.74984954458144,0.0801442789258975,0.225263027206724
"ENSMUSG00000001034",279.717711079737,-0.1706741193871,0.105968889514238,-1.6106059067852,0.107265645574664,0.271902460912209
"ENSMUSG00000001036",2345.69703922408,-0.170761263465689,0.0629182885921779,-2.71401634225185,0.00664728869179038,0.0436563137011341
"ENSMUSG00000001039",141.019766125086,-0.170957855357289,0.127350246146935,-1.34242265350661,0.17945899362824,0.37630456769739
"ENSMUSG00000001052",1298.09246911352,0.0422710718360807,0.0659638092036613,0.640822177287702,0.521638222429859,0.711336025213095
