"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLog10FDR"
"ILMN_2455192",-1.38285567158333,9.72694458029166,-22.5775983739791,5.50805963494409e-18,3.12527303686728e-15,31.1778524966474,14.5051120348879
"ILMN_2937261",-1.45983632808333,9.57820296345833,-22.5028948946058,5.95535355737775e-18,3.24910346966936e-15,31.1019245264473,14.4882364580638
"ILMN_1231930",-2.10253286133333,11.4924117885,-22.3406745709608,7.0614828436717e-18,3.70989385694382e-15,30.9361491846664,14.4306385157227
"ILMN_3008858",-0.927204178250001,9.270326460125,-22.1980781199985,8.20991268275597e-18,4.15920040731762e-15,30.7894050623145,14.3809901530433
"ILMN_1229343",-1.46883952308333,9.79642101595833,-21.961440749693,1.05629972565582e-17,5.1667626235958e-15,30.5437450602021,14.286781490773
"ILMN_1216813",-1.87271712291667,10.4543440385417,-21.865432892509,1.17084013798844e-17,5.51170380737662e-15,30.4433062054027,14.2587141289593
"ILMN_1250939",-0.988578233333334,9.70359343666667,-21.839043416854,1.20453167450599e-17,5.51170380737662e-15,30.4156201870943,14.2587141289593
"ILMN_1253773",-0.80634258725,9.40805695729166,-21.7858354950959,1.27555970318723e-17,5.55607689984339e-15,30.3596945902177,14.2552317519649
"ILMN_1223734",-1.32994960558333,10.3378410355417,-21.7735522287236,1.29256635667841e-17,5.55607689984339e-15,30.3467642309976,14.2552317519649
"ILMN_2746906",-1.38228523166667,11.6545303633333,-21.0938602318989,2.71895087685174e-17,1.13436229965123e-14,29.6195273100724,13.9452482156285
"ILMN_2615468",-1.99287253916667,12.0013479304167,-20.3690651495369,6.15535937608182e-17,2.49467922142059e-14,28.8176997932849,13.6029852902503
"ILMN_2878542",1.29121840033333,9.67645614391667,20.1766185511727,7.68013177936044e-17,3.02618525806189e-14,28.6000443339401,13.5191044887083
"ILMN_2794258",-0.984492199500001,9.95047482108333,-20.1350015689055,8.05862866982449e-17,3.08950399139082e-14,28.5527069198901,13.5101112393755
"ILMN_2730005",-1.23978872641667,9.677414993375,-20.0650109575347,8.73945781033202e-17,3.2623476063042e-14,28.4728784034854,13.4864697663317
"ILMN_3159149",-2.16231114416667,11.9762638745833,-19.1448338836225,2.60010145721713e-16,9.45703568477563e-14,27.3973033795156,13.0242449722123
"ILMN_1246800",1.16397790341667,10.3447778832917,19.1185957779436,2.68400949727839e-16,9.51816867972349e-14,27.3659046935522,13.0214466029598
